img;norma;equivalente;desc;inox;aco;aluminio;outros;img_aux;img_thumb;img1;img2;img3
furo_red_r10t12.jpg;R0.5 T1.25;Furo alternado a 60º ;"Diâmetro: 0.5 mm; Distância entre centros: 1.2 mm";;;;;;;;;
furo_red_r10t12.jpg;R0.5 T1.5;Furo alternado a 60º ;"Diâmetro: 0.5 mm; Distância entre centros: 1.5 mm";;;;;;;;;
furo_red_r10t12.jpg;R0.8 T1.75;Furo alternado a 60º ;"Diâmetro: 0.8 mm; Distância entre centros: 1.7 mm";;;;;;;;;
furo_red_r10t12.jpg;R0.8 T1.8;Furo alternado a 60º ;"Diâmetro: 0.8 mm; Distância entre centros: 1.8 mm";;;;;;;;;
furo_red_r10t12.jpg;R1 T2;Furo alternado a 60º ;"Diâmetro: 1 mm; Distância entre centros: 2 mm";;;;;;;;;
furo_red_r10t12.jpg;R1 T2.2;Furo alternado a 60º ;"Diâmetro: 1 mm; Distância entre centros: 2.2 mm";;;;;;;;;
furo_red_r10t12.jpg;R1.25 T2.5;Furo alternado a 60º ;"Diâmetro: 1.25 mm; Distância entre centros: 2.5 mm";;;;;;;;;
furo_red_r10t12.jpg;R1.5 T2.5;Furo alternado a 60º ;"Diâmetro: 1.5 mm; Distância entre centros: 2.5 mm";;;;;;;;;
furo_red_r10t12.jpg;R1.5 T3;Furo alternado a 60º ;"Diâmetro: 1.5 mm; Distância entre centros: 3 mm";;;;;;;;;
furo_red_r10t12.jpg;R1.5 T3.0;Furo alternado a 60º ;"Diâmetro: 1.5 mm; Distância entre centros: 3 mm";;;;;;;;;
furo_red_r10t12.jpg;R10 T13;Furo alternado a 60º ;"Diâmetro: 10 mm; Distância entre centros: 13 mm";;;;;;;;;
furo_red_r10t12.jpg;R10 T14;Furo alternado a 60º ;"Diâmetro: 10 mm; Distância entre centros: 14 mm";;;;;;;;;
furo_red_r10t12.jpg;R10 T15;Furo alternado a 60º ;"Diâmetro: 10 mm; Distância entre centros: 15 mm";;;;;;;;;
