img,norma,equivalente,desc,gama,grupo,aluminio,outros,img_aux,img_thumb,img1,img2,img3
buc_B002_1_opt.jpg,B002,,Bucha Junior com Taco Interior,fix,buc,,,,,,,
buc_B002_1_1_opt.jpg,B0025,,Bucha de Latão,fix,buc,,,,,,,
buc_B0073_opt.jpg,B007,,Bucha Metálica Expansiva,fix,buc,,,,,,,
buc_B0083_opt.jpg,B008,,Expansiva de três Elementos,fix,buc,,,,,,,
buc_B003MTA_opt.jpg,B003,,Bucha Segmentada,fix,buc,,,,,,,
buc_Bucha nylon_opt.jpg,B00431,,Bucha de Nylon,fix,buc,,,,,,,
buc_Bucha nylon s_gola_opt.jpg,B00431,,Bucha de Nylon com Gola,fix,buc,,,,,,,
buc_Bucha tijolo universal_opt.jpg,B00433,,Bucha de tijolo Universal,fix,buc,,,,,,,
buc_BOO434_opt.jpg,B00434,,Bucha Metálica Expansiva,fix,buc,,,,,,,
buc_Tapit_opt.jpg,B00436,,Tapits,fix,buc,,,,,,,
buc_Bucha pladur_1_opt.jpg,B009,,Bucha auto-perfurante para gesso cartonado,fix,buc,,,buc_Bucha pladur_2_opt.jpg,,,,
buc_Bucha borboleta_opt.jpg,B005,,Bucha Borboleta p/ material oco,fix,buc,,,,,,,
buc_Camisa_opt.jpg,7101,,Camisas para bucha química,fix,buc,,,,,,,
buc_Resina tubo_opt.jpg,7101,,Buchas químicas,fix,buc,,,,,,,
