img;norma;equivalente;desc;inox;aco;aluminio;outros;img_aux;img_thumb;img1;img2;img3
ani_125A persp_opt.jpg;C10 U12;;furo paralelo a 90º;;;;;;;;;
ani_125A persp_opt.jpg;C10 U13;;furo paralelo a 90º;;;;;;ani_9021 persp.png;;;
ani_125A persp_opt.jpg;C10 U14;;furo paralelo a 90º;;;;;;ani_127Bpersp.png;;;
ani_125A persp_opt.jpg;C10 U15;;furo paralelo a 90º;;;;;;ani_128Apersp.png;;;
ani_125A persp_opt.jpg;C15 U20;;furo paralelo a 90º;;;;;;ani_137Apersp.png;;;
ani_125A persp_opt.jpg;C5 U14;;furo paralelo a 90º;;;;;;ani_137B persp.png;;;
ani_125A persp_opt.jpg;C5 U7;;furo paralelo a 90º;;;;;;ani_6796 persp.png;;;
ani_125A persp_opt.jpg;C5 U7.5;;furo paralelo a 90º;;;;;;;;;
ani_125A persp_opt.jpg;C8 U10;;furo paralelo a 90º;;;;;;;;;
ani_125A persp_opt.jpg;C8 U12;;furo paralelo a 90º;;;;;;;;;
